資料区分,都道府県コード,警察署等コード,本票番号,事故内容,死者数,負傷者数,路線コード,地点コード,市区町村コード,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,日の出時刻　　時,日の出時刻　　分,日の入り時刻　　時,日の入り時刻　　分,天候,地形,路面状態,道路形状,信号機,一時停止規制　標識（当事者A）,一時停止規制　表示（当事者A）,一時停止規制　標識（当事者B）,一時停止規制　表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,車両形状等（当事者A）,車両形状等（当事者B）,オートマチック車（当事者A）,オートマチック車（当事者B）,サポカー（当事者A）,サポカー（当事者B）,速度規制（指定のみ）（当事者A）,速度規制（指定のみ）（当事者B）,車両の衝突部位（当事者A）,車両の衝突部位（当事者B）,車両の損壊程度（当事者A）,車両の損壊程度（当事者B）,エアバッグの装備（当事者A）,エアバッグの装備（当事者B）,サイドエアバッグの装備（当事者A）,サイドエアバッグの装備（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,,,曜日(発生年月日),祝日(発生年月日),認知機能検査経過日数（当事者A）,認知機能検査経過日数（当事者B）,運転練習の方法（当事者A）,運転練習の方法（当事者B）,,,,地点　緯度（北緯）,,,地点　経度（東経）
1,62,116,36,2,0,1,30990,0,114,2023,10,10,15,7,12,5,59,17,31,1,1,1,1,7,9,22,9,22,14,9,30,70,4,2,21,55,75,3,51,31,41,1,0,1,0,11,0,3,0,40,20,3,3,2,0,2,0,4,2,,,3,3,9999,0,9,0,,,,34.7421,,,135.5474944
1,62,116,37,2,0,1,30990,0,114,2024,2,1,11,41,12,6,57,17,26,1,1,1,14,7,0,0,0,0,4,9,1,70,4,1,21,65,45,17,35,31,31,11,0,1,0,11,11,3,3,18,31,3,3,2,0,2,0,4,2,,,5,3,9999,9999,9,1,,,,34.73559722,,,135.5281278
1,62,116,38,2,0,1,30990,0,114,2024,2,2,7,20,11,6,56,17,27,1,1,1,1,1,9,22,9,22,19,9,30,70,4,2,21,55,1,3,35,31,31,1,0,1,0,11,11,3,3,47,12,3,2,2,0,2,0,4,2,,,6,3,9999,9999,9,1,,,,34.72825556,,,135.5036083
1,62,116,39,2,0,1,30990,0,114,2023,11,22,20,34,22,6,38,16,50,1,1,1,1,7,9,22,9,22,14,9,30,70,4,2,21,55,35,51,51,41,41,0,0,0,0,0,0,0,0,10,40,3,3,0,0,0,0,2,4,,,4,2,0,0,0,0,,,,34.7484,,,135.5194194
1,62,116,40,2,0,1,30990,0,114,2024,2,5,6,13,23,6,54,17,30,3,1,2,1,1,9,22,0,0,15,9,30,70,4,2,1,1,65,3,61,31,0,1,0,1,0,11,0,3,0,10,0,3,0,2,0,2,0,4,2,,,2,3,9999,0,1,0,,,,34.75168333,,,135.5446583
1,62,116,41,2,0,1,30990,0,114,2024,1,7,1,42,22,7,6,17,2,1,1,1,14,7,0,0,0,0,1,9,1,70,5,4,21,45,1,3,14,31,31,1,11,1,1,11,11,2,2,31,10,3,3,2,2,2,1,2,4,,,1,2,9999,9999,9,1,,,,34.74402222,,,135.5529083
1,62,116,42,2,0,1,30990,0,114,2024,1,2,22,20,22,7,5,16,58,1,1,1,14,7,0,0,0,0,3,9,1,70,5,1,21,1,55,3,3,31,1,1,1,1,1,11,11,1,1,10,30,3,3,2,2,2,2,4,2,,,3,3,9999,9999,9,9,,,,34.74719444,,,135.5201
1,62,116,43,2,0,1,30990,3099,114,2024,2,3,18,38,22,6,55,17,28,1,1,1,1,7,1,22,9,22,17,9,30,70,4,3,21,1,35,51,51,41,41,0,0,0,0,0,0,0,0,10,10,3,3,0,0,0,0,4,2,,,7,3,0,0,0,0,,,,34.73943889,,,135.5275694
1,62,116,44,2,0,2,30990,0,114,2024,1,20,14,25,12,7,3,17,14,3,1,2,1,7,9,22,1,21,17,9,30,70,4,4,21,35,35,3,35,31,31,1,0,1,0,11,11,2,10,47,12,3,3,2,0,2,0,2,4,,,7,3,9999,9999,1,5,,,,34.74685556,,,135.5266083
1,62,116,45,2,0,1,30990,0,114,2024,2,7,17,49,21,6,52,17,32,1,1,1,1,1,9,22,9,22,15,9,30,70,4,2,21,65,1,3,51,31,41,1,0,1,0,11,0,3,0,50,40,3,3,2,0,2,0,4,2,,,4,3,9999,0,9,0,,,,34.75793889,,,135.5470083
1,62,116,46,2,0,1,10040,0,114,2024,2,5,16,18,12,6,54,17,30,3,1,2,7,7,0,0,0,0,1,3,1,70,5,2,21,45,45,11,3,31,31,11,1,2,1,11,11,4,4,10,30,3,3,2,2,2,2,4,2,,,2,3,9999,9999,5,1,,,,34.73689444,,,135.5229778
1,62,116,47,2,0,1,30990,0,114,2024,2,9,8,20,12,6,50,17,34,1,1,1,1,1,9,22,9,22,15,9,30,70,4,1,21,55,1,3,51,31,41,1,0,1,0,11,0,2,0,80,20,3,2,2,0,2,0,4,2,,,6,3,9999,0,9,0,,,,34.74061111,,,135.5374972
